time, max_light, status, x_est, y_est,
13.248, 2.25512, 2, 0.864045, -0.0591845, 
28.032, 2.25075, 2, 2.62127, -0.00685249, 
42.208, 2.25606, 2, 4.50559, -0.0106791, 
72.704, 2.25371, 2, 4.4419, 1.29357, 
87.488, 2.42242, 2, 2.73459, 1.03546, 
99.36, 2.26968, 1, 0.910809, 1.19111, 
129.216, 2.27827, 2, 0.888781, 2.71485, 
144, 2.25437, 1, 2.77202, 2.61654, 
156.064, 2.25618, 2, 4.52414, 2.59278, 
187.2, 2.25541, 2, 4.47905, 3.95556, 
201.984, 2.25408, 1, 2.65405, 3.92593, 
214.464, 2.25684, 2, 0.88758, 3.91043, 
